Escola,Sexo,idade,TP_Moradia,Tamanho_Familia,Situacao_Pais,Educacao_Mae,Educacao_Pai,Trabalho_Mae,Trabalho_Pai,Motivo_Escolha_Escolar,Responsavel_Legal,Tempo_ida_Escola,Tempo_Estudo_Semanal,Apoio_Educacao_Extra,Apoio_Educacao_Pais,Aulas_Particulares,Ativ_Extracurricular,Frequentou_Creche,Quer_Fazer_Graduacao,Tem_Internet,Esta_Namorando,Boa_Convivencia_Familia,Tempo_Livre_Apos_Escola,Tempo_com_Amigos,Alcool_Dia_Util,Alcool_Fim_Semana,Estado_Saude,Falta_Escolar,Nota_1Semestre,Nota_2Semestre
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,other,other,Perto de Casa,Pai,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Bom,Moderado,Baixo,Baixo,Moderado,Bom,2,13,12
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Serviços,Reputação,Pai,15 a 30 min,2 a 5h,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Bom,Alto,Alto,Baixo,Moderado,Muito Bom,4,12,11
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Do Lar,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Não,Não,Bom,Moderado,Alto,Muito Baixo,Baixo,Ruim,6,13,11
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,other,other,Reputação,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Moderado,Moderado,Muito Baixo,Moderado,Muito Ruim,4,15,15
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Serviços,other,Reputação,Pai,15 a 30 min,2 a 5h,Não,Não,Não,Sim,Não,Sim,Sim,Não,Bom,Alto,Baixo,Muito Baixo,Muito Baixo,Razoavel,6,12,10
Gabriel Pereira,Homem,16,Urbano,Até 3,Separados,Ensino Superior,Ensino Superior,Professor,Saúde,Reputação,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Não,Não,Bom,Muito Baixo,Moderado,Moderado,Muito Alto,Muito Bom,6,9,9
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Médio,other,other,Perto de Casa,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Bom,Moderado,Moderado,Muito Baixo,Moderado,Bom,2,9,11
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Serviços,other,Reputação,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Sim,Não,Bom,Muito Alto,Muito Alto,Muito Baixo,Moderado,Muito Ruim,6,14,13
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Médio,Ensino Fundamental 1,other,other,Perto de Casa,Pai,Até 15 min,2 a 5h,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Razoavel,Moderado,Moderado,Baixo,Moderado,Ruim,0,12,13
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,Professor,Serviços,Perto de Casa,Mãe,15 a 30 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Moderado,Moderado,Muito Baixo,Muito Baixo,Muito Ruim,2,13,14
Gabriel Pereira,Homem,15,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Serviços,Saúde,Reputação,Mãe,Até 15 min,Mais de 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Alto,Muito Baixo,Muito Baixo,Bom,2,11,12
Gabriel Pereira,Mulher,15,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,Do Lar,other,Perto de Casa,Mãe,15 a 30 min,Mais de 10h,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Razoavel,Muito Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Ruim,4,13,13
Gabriel Pereira,Homem,16,Rural,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Serviços,other,Reputação,Mãe,15 a 30 min,"Até 2h,",Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Razoavel,Moderado,Moderado,Muito Baixo,Muito Baixo,Bom,6,9,11
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 1,other,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Bom,Moderado,Muito Alto,Muito Baixo,Muito Baixo,Muito Bom,0,13,12
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,other,other,Reputação,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Sim,Não,Sim,Sim,Não,Excelente,Moderado,Alto,Muito Baixo,Baixo,Muito Ruim,4,12,13
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,other,Do Lar,Preferência pelo Curso,Mãe,Até 15 min,5 a 10h,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Excelente,Moderado,Muito Alto,Muito Baixo,Muito Baixo,Razoavel,2,12,13
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Serviços,Outro,Mãe,Até 15 min,"Até 2h,",Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Muito Alto,Muito Alto,Muito Alto,Muito Alto,Bom,12,9,9
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Professor,Outro,Pai,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Bom,Alto,Moderado,Muito Baixo,Muito Baixo,Bom,0,16,16
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,other,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Excelente,Moderado,Moderado,Muito Baixo,Muito Baixo,Muito Bom,2,12,13
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Fundamental 2,Serviços,other,Perto de Casa,Mãe,15 a 30 min,2 a 5h,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Moderado,Muito Alto,Muito Baixo,Muito Baixo,Ruim,16,11,10
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Separados,Ensino Médio,Ensino Superior,Serviços,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Alto,Alto,Muito Baixo,Muito Baixo,Muito Ruim,0,16,16
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Separados,Ensino Médio,Ensino Médio,other,Saúde,Reputação,Pai,Até 15 min,Mais de 10h,Sim,Não,Não,Não,Sim,Sim,Não,Não,Bom,Moderado,Moderado,Muito Baixo,Muito Baixo,Bom,10,10,10
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Preferência pelo Curso,Mãe,Até 15 min,Mais de 10h,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Excelente,Muito Baixo,Baixo,Muito Baixo,Muito Baixo,Razoavel,4,10,10
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Médio,Serviços,other,Perto de Casa,Pai,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Moderado,Moderado,Muito Baixo,Muito Baixo,Muito Bom,4,13,14
Gabriel Pereira,Homem,15,Rural,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,other,other,Perto de Casa,Pai,Mais de 1h,Mais de 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Muito Ruim,Moderado,Muito Alto,Moderado,Muito Alto,Muito Ruim,8,12,10
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Superior,Saúde,Saúde,Outro,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Excelente,Alto,Muito Alto,Muito Baixo,Muito Baixo,Bom,2,15,15
Gabriel Pereira,Homem,15,Urbano,Até 3,Separados,Ensino Superior,Ensino Superior,Professor,Professor,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Sim,Não,Excelente,Muito Alto,Moderado,Muito Baixo,Muito Baixo,Bom,4,13,14
Gabriel Pereira,Mulher,16,Rural,Acima de 3,Morando Juntos,Ensino Médio,Ensino Médio,Serviços,other,Reputação,Pai,Até 15 min,5 a 10h,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Muito Baixo,Baixo,Muito Baixo,Muito Baixo,Ruim,4,11,11
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Do Lar,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Razoavel,Muito Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Bom,12,8,10
Gabriel Pereira,Homem,15,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,Professor,other,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Sim,Não,Razoavel,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Razoavel,10,18,17
Gabriel Pereira,Homem,15,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 1,Saúde,Serviços,Reputação,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Excelente,Alto,Baixo,Muito Baixo,Muito Baixo,Muito Bom,4,10,9
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,Professor,Preferência pelo Curso,Pai,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Alto,Alto,Muito Baixo,Baixo,Muito Bom,6,16,14
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,other,Professor,Reputação,Pai,15 a 30 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Bom,Alto,Moderado,Muito Baixo,Muito Baixo,Ruim,4,16,15
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Médio,other,Serviços,Perto de Casa,Pai,15 a 30 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Sim,Não,Excelente,Alto,Baixo,Muito Baixo,Muito Baixo,Muito Bom,6,14,14
Gabriel Pereira,Homem,17,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Médio,other,other,Preferência pelo Curso,Pai,30 min a 1h,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Baixo,Alto,Muito Baixo,Alto,Muito Bom,14,12,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Superior,other,other,Reputação,Pai,Até 15 min,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Sim,Não,Razoavel,Alto,Moderado,Muito Baixo,Baixo,Bom,2,14,13
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 2,Do Lar,Serviços,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Não,Não,Sim,Sim,Não,Razoavel,Baixo,Moderado,Muito Baixo,Baixo,Muito Ruim,0,14,14
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Serviços,Serviços,Perto de Casa,Pai,Até 15 min,Mais de 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Muito Alto,Alto,Muito Baixo,Baixo,Muito Bom,6,14,13
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Superior,other,Saúde,Preferência pelo Curso,Pai,15 a 30 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Bom,Baixo,Baixo,Muito Baixo,Baixo,Muito Bom,2,14,12
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Saúde,other,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Razoavel,Alto,Alto,Muito Baixo,Alto,Muito Bom,4,12,13
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Excelente,Alto,Alto,Muito Baixo,Muito Baixo,Muito Bom,0,12,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Superior,Serviços,Serviços,Perto de Casa,Pai,Até 15 min,"Até 2h,",Sim,Não,Não,Não,Sim,Sim,Sim,Não,Excelente,Muito Alto,Muito Alto,Moderado,Baixo,Muito Bom,2,9,9
Gabriel Pereira,Mulher,15,Urbano,Até 3,Separados,Ensino Médio,Ensino Superior,other,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Excelente,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Ruim,0,10,11
Gabriel Pereira,Mulher,19,Urbano,Acima de 3,Morando Juntos,Nenhuma,Ensino Fundamental 1,Do Lar,other,Preferência pelo Curso,Outro,Até 15 min,2 a 5h,Não,Sim,Não,Não,Não,Não,Não,Não,Razoavel,Alto,Baixo,Muito Baixo,Muito Baixo,Muito Bom,0,9,10
Gabriel Pereira,Homem,16,Rural,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,Professor,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Sim,Não,Razoavel,Muito Alto,Muito Alto,Baixo,Muito Alto,Bom,8,14,14
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Médio,other,other,Preferência pelo Curso,Mãe,15 a 30 min,5 a 10h,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Razoavel,Baixo,Moderado,Baixo,Baixo,Muito Ruim,4,13,12
Gabriel Pereira,Mulher,15,Rural,Acima de 3,Morando Juntos,Ensino Médio,Ensino Superior,Serviços,Professor,Preferência pelo Curso,Pai,15 a 30 min,5 a 10h,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Bom,Baixo,Baixo,Baixo,Baixo,Muito Bom,0,10,11
Gabriel Pereira,Mulher,18,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 1,Serviços,other,Reputação,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Excelente,Alto,Muito Alto,Muito Baixo,Moderado,Muito Bom,10,10,9
Gabriel Pereira,Mulher,17,Urbano,Até 3,Separados,Ensino Fundamental 2,Ensino Fundamental 1,other,other,Preferência pelo Curso,Mãe,30 min a 1h,"Até 2h,",Não,Sim,Não,Não,Sim,Sim,Sim,Não,Razoavel,Baixo,Baixo,Muito Baixo,Baixo,Muito Bom,8,11,10
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,Do Lar,other,Preferência pelo Curso,Mãe,30 min a 1h,"Até 2h,",Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Bom,Moderado,Moderado,Muito Baixo,Baixo,Bom,6,11,12
Gabriel Pereira,Mulher,17,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Preferência pelo Curso,Pai,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Razoavel,Alto,Alto,Muito Baixo,Moderado,Muito Bom,2,13,12
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Separados,Ensino Médio,Ensino Superior,Serviços,other,Preferência pelo Curso,Pai,Até 15 min,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Sim,Não,Razoavel,Baixo,Muito Baixo,Muito Baixo,Alto,Muito Bom,12,15,13
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 1,Do Lar,other,Preferência pelo Curso,Mãe,Mais de 1h,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Não,Não,Razoavel,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Ruim,4,9,9
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Separados,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Perto de Casa,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Não,Não,Excelente,Moderado,Alto,Muito Baixo,Muito Baixo,Muito Bom,12,13,11
Gabriel Pereira,Homem,15,Rural,Acima de 3,Morando Juntos,Ensino Médio,Ensino Superior,Do Lar,Professor,Preferência pelo Curso,Mãe,Mais de 1h,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Excelente,Moderado,Moderado,Muito Baixo,Muito Baixo,Muito Bom,2,12,11
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Do Lar,Preferência pelo Curso,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Bom,Moderado,Moderado,Muito Baixo,Muito Baixo,Muito Bom,4,13,14
Gabriel Pereira,Homem,17,Rural,Acima de 3,Morando Juntos,Ensino Médio,Ensino Superior,Do Lar,other,Preferência pelo Curso,Mãe,30 min a 1h,2 a 5h,Não,Não,Não,Não,Sim,Sim,Não,Não,Excelente,Alto,Muito Alto,Baixo,Alto,Muito Bom,2,10,9
Gabriel Pereira,Mulher,16,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,Do Lar,other,Preferência pelo Curso,Mãe,Mais de 1h,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Não,Não,Excelente,Muito Baixo,Moderado,Muito Baixo,Muito Baixo,Razoavel,0,14,13
Gabriel Pereira,Homem,18,Urbano,Até 3,Morando Juntos,Ensino Médio,Ensino Fundamental 1,Serviços,Serviços,Preferência pelo Curso,Mãe,15 a 30 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Razoavel,Moderado,Alto,Alto,Muito Alto,Bom,2,11,11
Gabriel Pereira,Mulher,18,Urbano,Acima de 3,Separados,Ensino Médio,Ensino Fundamental 2,other,Serviços,Preferência pelo Curso,Outro,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Bom,Moderado,Moderado,Muito Alto,Muito Baixo,Muito Bom,10,12,11
Gabriel Pereira,Mulher,16,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,other,Serviços,Reputação,Mãe,15 a 30 min,"Até 2h,",Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Razoavel,Moderado,Moderado,Muito Baixo,Baixo,Muito Ruim,8,12,11
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Separados,Ensino Médio,Ensino Médio,other,other,Preferência pelo Curso,Outro,15 a 30 min,"Até 2h,",Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Bom,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Bom,4,9,9
Gabriel Pereira,Homem,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,Serviços,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Não,Sim,Sim,Não,Sim,Bom,Alto,Alto,Muito Baixo,Moderado,Muito Bom,0,10,10
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,Professor,Preferência pelo Curso,Mãe,15 a 30 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Bom,6,13,14
Gabriel Pereira,Mulher,15,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,other,other,Preferência pelo Curso,Mãe,30 min a 1h,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Excelente,Muito Alto,Muito Alto,Muito Baixo,Muito Baixo,Muito Ruim,2,8,9
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Professor,Serviços,Preferência pelo Curso,Pai,15 a 30 min,Mais de 10h,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Ruim,Baixo,Baixo,Muito Baixo,Muito Baixo,Razoavel,6,9,11
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Separados,Ensino Médio,Ensino Médio,Serviços,Serviços,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Não,Não,Sim,Não,Sim,Muito Ruim,Moderado,Baixo,Baixo,Moderado,Muito Ruim,24,9,8
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Serviços,Preferência pelo Curso,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Moderado,Moderado,Muito Baixo,Moderado,Muito Bom,0,15,13
Gabriel Pereira,Homem,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Serviços,Serviços,Reputação,Pai,15 a 30 min,"Até 2h,",Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Ruim,Moderado,Moderado,Baixo,Baixo,Ruim,4,12,11
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,Serviços,Preferência pelo Curso,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Bom,2,13,13
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,Do Lar,Do Lar,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Sim,Não,Razoavel,Alto,Alto,Moderado,Moderado,Muito Ruim,4,10,11
Gabriel Pereira,Homem,17,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 1,other,other,Perto de Casa,Mãe,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Sim,Sim,Sim,Não,Excelente,Alto,Muito Alto,Muito Baixo,Baixo,Muito Bom,22,9,7
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,other,Serviços,Preferência pelo Curso,Pai,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Alto,Baixo,Muito Baixo,Baixo,Muito Bom,0,12,12
Gabriel Pereira,Mulher,15,Urbano,Até 3,Separados,Ensino Fundamental 2,Ensino Fundamental 1,Do Lar,other,Perto de Casa,Mãe,15 a 30 min,"Até 2h,",Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Bom,Alto,Baixo,Muito Baixo,Muito Baixo,Muito Bom,0,11,10
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Fundamental 2,Saúde,Serviços,Perto de Casa,Pai,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Razoavel,Moderado,Baixo,Muito Baixo,Muito Baixo,Razoavel,2,11,11
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 2,Do Lar,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Não,Sim,Sim,Não,Bom,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Bom,6,13,12
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 2,Do Lar,Serviços,Preferência pelo Curso,Pai,Até 15 min,2 a 5h,Não,Não,Não,Não,Não,Sim,Não,Sim,Ruim,Moderado,Alto,Baixo,Alto,Muito Ruim,6,11,11
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,Professor,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Sim,Não,Sim,Sim,Razoavel,Moderado,Baixo,Baixo,Muito Baixo,Muito Bom,16,9,9
Gabriel Pereira,Homem,15,Urbano,Até 3,Separados,Ensino Fundamental 2,Ensino Fundamental 1,Serviços,other,Preferência pelo Curso,Mãe,Mais de 1h,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Sim,Não,Bom,Muito Alto,Muito Alto,Baixo,Muito Alto,Muito Bom,0,12,11
Gabriel Pereira,Homem,18,Urbano,Até 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,other,other,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Não,Sim,Não,Sim,Sim,Ruim,Moderado,Muito Alto,Baixo,Muito Alto,Bom,0,11,9
Gabriel Pereira,Homem,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 1,Do Lar,other,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Não,Sim,Bom,Alto,Alto,Moderado,Muito Alto,Muito Bom,6,9,10
Gabriel Pereira,Mulher,15,Rural,Acima de 3,Morando Juntos,Ensino Médio,Ensino Médio,Serviços,Serviços,Reputação,Outro,15 a 30 min,5 a 10h,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Bom,Baixo,Muito Baixo,Baixo,Moderado,Razoavel,2,13,13
Gabriel Pereira,Homem,19,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Fundamental 2,Serviços,Do Lar,Perto de Casa,Mãe,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Sim,Não,Sim,Sim,Bom,Muito Alto,Alto,Muito Baixo,Muito Baixo,Bom,6,11,9
Gabriel Pereira,Mulher,17,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,other,Professor,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Bom,Baixo,Muito Baixo,Muito Baixo,Muito Baixo,Bom,0,13,13
Gabriel Pereira,Homem,15,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Médio,Do Lar,Serviços,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Bom,Alto,Alto,Muito Baixo,Muito Baixo,Muito Ruim,0,7,8
